    # Energy          Ni          Cr
   -10.23649     0.00000     0.00000
   -10.14249     0.00000     0.00000
   -10.04949     0.00000     0.00000
    -9.95549     0.00000     0.00000
    -9.86149     0.00000     0.00000
    -9.76749    -0.00000    -0.00000
    -9.67349    -0.00000    -0.00000
    -9.58049    -0.00000    -0.00000
    -9.48649    -0.00000    -0.00000
    -9.39249    -0.00000    -0.00000
    -9.29849    -0.00000    -0.00000
    -9.20449    -0.00024    -0.00001
    -9.11149    -0.01159    -0.00046
    -9.01749    -0.02614    -0.00103
    -8.92349     0.54952     0.02187
    -8.82949     1.07872     0.04268
    -8.73549     0.69189     0.02677
    -8.64249     0.40094     0.01581
    -8.54849     1.20837     0.04458
    -8.45449     2.09130     0.07059
    -8.36049     3.22127     0.16169
    -8.26649     2.18016     0.13244
    -8.17349     1.62103     0.07704
    -8.07949     3.07032     0.14214
    -7.98549     3.22532     0.19432
    -7.89149     2.79113     0.16325
    -7.79749     3.51333     0.17681
    -7.70449     2.85483     0.13738
    -7.61049     2.07314     0.11486
    -7.51649     2.15422     0.12656
    -7.42249     3.14674     0.10637
    -7.32849     4.68035     0.24576
    -7.23549     2.52854     0.19935
    -7.14149     3.05621     0.11602
    -7.04749     5.86063     0.29479
    -6.95349     4.14515     0.29909
    -6.85949     3.54037     0.19202
    -6.76649     5.94808     0.24034
    -6.67249     7.04295     0.39938
    -6.57849     4.47895     0.31487
    -6.48449     4.68159     0.19442
    -6.39049     6.81716     0.36647
    -6.29749     5.99388     0.39375
    -6.20349     6.19469     0.32023
    -6.10949     6.63080     0.37081
    -6.01549     5.52207     0.36412
    -5.92149     5.93240     0.32949
    -5.82849     6.37135     0.39813
    -5.73449     5.28227     0.29896
    -5.64049     5.97680     0.27820
    -5.54649     7.15468     0.37575
    -5.45249    11.87112     0.55833
    -5.35949    14.61396     0.83807
    -5.26549    11.23003     0.70240
    -5.17149    12.80434     0.71753
    -5.07749    14.24120     0.87379
    -4.98349     9.81873     0.61805
    -4.89049    11.76393     0.62380
    -4.79649    23.20480     1.14775
    -4.70249    32.98134     1.69448
    -4.60849    38.60618     2.14463
    -4.51449    44.64854     2.47889
    -4.42149    47.02793     2.66427
    -4.32749    47.22277     2.60159
    -4.23349    43.96521     2.50464
    -4.13949    53.11509     2.52120
    -4.04549    60.44859     2.64867
    -3.95249    79.70451     3.36029
    -3.85849    91.23989     3.91156
    -3.76449    92.34554     3.71559
    -3.67049    92.02343     3.75354
    -3.57649    89.24320     3.57556
    -3.48249    88.19969     3.34071
    -3.38949    84.00434     3.21787
    -3.29549    77.16368     2.99264
    -3.20149    78.49347     2.74733
    -3.10749    75.86944     2.46715
    -3.01349    70.02806     1.83596
    -2.92049    98.46728     2.21599
    -2.82649   126.35483     3.12407
    -2.73249   114.15531     3.14642
    -2.63849   106.20629     2.74823
    -2.54449   117.28952     2.79567
    -2.45149   132.64603     3.03678
    -2.35749   147.27022     3.07275
    -2.26349   151.94304     3.15478
    -2.16949   170.83557     3.35976
    -2.07549   151.84474     3.56545
    -1.98249   121.66332     3.90598
    -1.88849   116.60755     4.16872
    -1.79449   114.11271     4.19001
    -1.70049   106.15060     4.25984
    -1.60649   100.81450     4.11555
    -1.51349   109.34159     3.94832
    -1.41949   112.54573     3.27241
    -1.32549   135.25256     2.71794
    -1.23149   166.61751     3.11881
    -1.13749   153.18056     3.49040
    -1.04449   129.10398     3.32018
    -0.95049   115.78364     3.21522
    -0.85649   122.15517     3.10783
    -0.76249   142.87851     3.47117
    -0.66849   183.14311     4.14465
    -0.57549   205.04516     4.17116
    -0.48149   167.96314     4.06330
    -0.38749    82.49662     4.48366
    -0.29349    36.10779     5.14067
    -0.19949    29.81045     5.87378
    -0.10649    27.74831     6.56793
    -0.01249    24.23852     6.65603
     0.08151    23.98573     6.90984
     0.17551    20.32596     6.98533
     0.26951    19.86535     7.48577
     0.36251    21.33063     7.92197
     0.45651    20.70761     6.77498
     0.55051    18.42780     6.64555
     0.64451    14.82874     6.34779
     0.73851    15.45255     6.54403
     0.83151    17.00461     7.25110
     0.92551    15.76733     7.36105
     1.01951    13.77114     6.78544
     1.11351    13.25688     5.78437
     1.20751    12.45279     4.47025
     1.30051    12.13595     4.29666
     1.39451     9.93439     3.89290
     1.48851    12.09017     4.58018
     1.58251    13.33695     5.52592
     1.67651    11.61553     4.00260
     1.76951    11.69602     2.75024
     1.86351    11.68636     2.61827
     1.95751    10.53022     2.60929
     2.05151    10.18473     2.62949
     2.14551    13.37772     2.50921
     2.23851    10.86138     2.03879
     2.33251    11.02109     2.01647
     2.42651    10.76067     1.79672
     2.52051     9.82179     1.70972
     2.61451    11.60014     1.57408
     2.70751    12.20868     1.40742
     2.80151     8.48212     1.15012
     2.89551     9.70524     1.28792
     2.98951    12.24175     1.55824
