    # Energy          Ni          Cr
   -10.23649     0.00000     0.00000
   -10.14249     0.00000     0.00000
   -10.04949     0.00000     0.00000
    -9.95549     0.00000     0.00000
    -9.86149     0.00000     0.00000
    -9.76749     0.00000     0.00000
    -9.67349     0.00000     0.00000
    -9.58049     0.00000     0.00000
    -9.48649     0.00000     0.00000
    -9.39249     0.00000     0.00000
    -9.29849     0.00001     0.00000
    -9.20449     0.00117     0.00003
    -9.11149     0.02622     0.00074
    -9.01749    -0.06405    -0.00183
    -8.92349    -0.87069    -0.02465
    -8.82949    -0.98291    -0.02754
    -8.73549    -0.54636    -0.01501
    -8.64249    -0.58549    -0.01654
    -8.54849    -1.47410    -0.03555
    -8.45449    -2.28536    -0.05632
    -8.36049    -3.00466    -0.14744
    -8.26649    -1.98053    -0.12187
    -8.17349    -1.89572    -0.07268
    -8.07949    -3.14232    -0.13412
    -7.98549    -2.99833    -0.18270
    -7.89149    -3.07318    -0.16747
    -7.79749    -3.68446    -0.16006
    -7.70449    -2.39953    -0.10716
    -7.61049    -2.02730    -0.10914
    -7.51649    -2.40200    -0.12354
    -7.42249    -3.34509    -0.08552
    -7.32849    -4.14373    -0.22426
    -7.23549    -2.48513    -0.20675
    -7.14149    -3.66054    -0.11443
    -7.04749    -5.27481    -0.25468
    -6.95349    -4.06492    -0.30166
    -6.85949    -3.98447    -0.19855
    -6.76649    -5.79944    -0.20324
    -6.67249    -6.62109    -0.36160
    -6.57849    -4.54638    -0.32490
    -6.48449    -4.54481    -0.17362
    -6.39049    -6.31602    -0.31319
    -6.29749    -5.95249    -0.39107
    -6.20349    -6.13168    -0.31761
    -6.10949    -6.34911    -0.34213
    -6.01549    -5.10710    -0.33419
    -5.92149    -5.63027    -0.30366
    -5.82849    -6.21457    -0.37555
    -5.73449    -5.40770    -0.33682
    -5.64049    -5.11391    -0.20832
    -5.54649    -5.81409    -0.30647
    -5.45249    -7.42444    -0.34343
    -5.35949   -11.98801    -0.58541
    -5.26549   -11.83351    -0.78029
    -5.17149    -9.99973    -0.62882
    -5.07749   -11.58028    -0.69484
    -4.98349   -11.64449    -0.75519
    -4.89049    -9.55925    -0.65277
    -4.79649    -8.84215    -0.58201
    -4.70249   -11.49927    -0.69964
    -4.60849   -16.22007    -1.02888
    -4.51449   -22.95675    -1.44917
    -4.42149   -27.02254    -1.92659
    -4.32749   -29.02831    -2.34577
    -4.23349   -38.91707    -2.66762
    -4.13949   -45.67563    -2.88999
    -4.04549   -42.69099    -2.72607
    -3.95249   -38.67156    -2.32097
    -3.85849   -35.74332    -2.09932
    -3.76449   -42.97997    -2.44140
    -3.67049   -51.18228    -2.96177
    -3.57649   -64.84939    -3.93743
    -3.48249   -63.90124    -3.89851
    -3.38949   -67.90792    -3.47365
    -3.29549   -90.67771    -3.86454
    -3.20149   -84.86408    -3.36205
    -3.10749   -78.32796    -2.66349
    -3.01349   -78.32711    -2.50182
    -2.92049   -76.08575    -2.50176
    -2.82649   -78.78435    -2.41649
    -2.73249   -76.03093    -2.30172
    -2.63849   -70.61003    -2.24026
    -2.54449   -69.20559    -2.13451
    -2.45149   -92.63790    -2.52484
    -2.35749  -112.26085    -3.02151
    -2.26349  -103.22067    -2.78455
    -2.16949   -98.38746    -2.54837
    -2.07549  -109.78220    -2.81475
    -1.98249  -120.99338    -3.18733
    -1.88849  -127.95100    -3.26763
    -1.79449  -138.07286    -3.56756
    -1.70049  -134.86235    -3.75261
    -1.60649  -134.85734    -3.92306
    -1.51349  -154.05749    -4.04161
    -1.41949  -143.38827    -4.02035
    -1.32549  -118.36920    -3.89877
    -1.23149  -112.65134    -3.96751
    -1.13749  -103.66259    -4.17603
    -1.04449   -96.72083    -3.55492
    -0.95049  -103.85749    -3.09035
    -0.85649  -112.95822    -2.58796
    -0.76249  -134.83911    -2.51633
    -0.66849  -142.76263    -3.03649
    -0.57549  -131.92485    -3.36014
    -0.48149  -120.12484    -3.49314
    -0.38749  -105.51873    -3.84659
    -0.29349   -95.37288    -3.66129
    -0.19949  -105.68209    -3.40678
    -0.10649  -126.65983    -3.50942
    -0.01249  -140.67667    -3.38860
     0.08151  -167.71685    -3.23673
     0.17551  -180.27178    -3.35246
     0.26951  -127.96081    -4.22742
     0.36251   -69.34178    -5.30364
     0.45651   -34.29327    -6.62679
     0.55051   -26.19157    -6.70149
     0.64451   -23.17710    -5.83988
     0.73851   -22.96562    -7.04518
     0.83151   -22.75277    -8.46718
     0.92551   -22.17252    -8.77005
     1.01951   -23.38059    -8.43931
     1.11351   -21.95779    -7.64528
     1.20751   -17.49854    -6.43630
     1.30051   -17.48321    -6.82050
     1.39451   -15.85443    -7.14488
     1.48851   -15.68094    -7.94772
     1.58251   -14.18983    -6.45177
     1.67651   -13.32968    -6.52252
     1.76951   -13.98944    -6.25276
