      #Energy        TDOS-UP        TDOS-DOWN
     -10.33082       0.00000       0.00000
     -10.23682       0.00000       0.00000
     -10.14282       0.00000       0.00000
     -10.04782       0.00000       0.00000
      -9.95382       0.00000       0.00000
      -9.85982      -0.00000       0.00000
      -9.76482      -0.00000       0.00000
      -9.67082      -0.00000       0.00000
      -9.57682      -0.00000       0.00000
      -9.48182      -0.00000       0.00000
      -9.38782      -0.00000       0.00000
      -9.29382      -0.00000       0.00000
      -9.19882      -0.00003       0.00008
      -9.10482      -0.00015      -0.00002
      -9.01082       0.00134      -0.00292
      -8.91582       0.00634      -0.00796
      -8.82182       0.00952      -0.01034
      -8.72782       0.01297      -0.01463
      -8.63282       0.01505      -0.01382
      -8.53882       0.01405      -0.01682
      -8.44482       0.02240      -0.02249
      -8.34982       0.01771      -0.01609
      -8.25582       0.02010      -0.02329
      -8.16182       0.02514      -0.02419
      -8.06682       0.02473      -0.02624
      -7.97282       0.02821      -0.02675
      -7.87882       0.02193      -0.02087
      -7.78382       0.02817      -0.03384
      -7.68982       0.03877      -0.03563
      -7.59582       0.02963      -0.02899
      -7.50082       0.02862      -0.02642
      -7.40682       0.02947      -0.03513
      -7.31182       0.04750      -0.04551
      -7.21782       0.03450      -0.03217
      -7.12382       0.03756      -0.03878
      -7.02882       0.03966      -0.03795
      -6.93482       0.04254      -0.04345
      -6.84082       0.03973      -0.03724
      -6.74582       0.04625      -0.04827
      -6.65182       0.05980      -0.05778
      -6.55782       0.04221      -0.03838
      -6.46282       0.04219      -0.04147
      -6.36882       0.05107      -0.04984
      -6.27482       0.06418      -0.06295
      -6.17982       0.06539      -0.06048
      -6.08582       0.05418      -0.05246
      -5.99182       0.04889      -0.04687
      -5.89682       0.07595      -0.06467
      -5.80282       0.07201      -0.07120
      -5.70882       0.07389      -0.06575
      -5.61382       0.07047      -0.06697
      -5.51982       0.08301      -0.06639
      -5.42582       0.09672      -0.08666
      -5.33082       0.08571      -0.07294
      -5.23682       0.09816      -0.07960
      -5.14282       0.12440      -0.09222
      -5.04782       0.13090      -0.09883
      -4.95382       0.13130      -0.10300
      -4.85982       0.19200      -0.09978
      -4.76482       0.24930      -0.11060
      -4.67082       0.26510      -0.14980
      -4.57682       0.36990      -0.14810
      -4.48182       0.39370      -0.15010
      -4.38782       0.40050      -0.22800
      -4.29382       0.40450      -0.28820
      -4.19882       0.44040      -0.32900
      -4.10482       0.52210      -0.33750
      -4.01082       0.60570      -0.36690
      -3.91582       0.65450      -0.34750
      -3.82182       0.70870      -0.35940
      -3.72782       0.74990      -0.36010
      -3.63282       0.72370      -0.38190
      -3.53882       0.63670      -0.41200
      -3.44482       0.59930      -0.53030
      -3.34982       0.62220      -0.59620
      -3.25582       0.59010      -0.64900
      -3.16082       0.59670      -0.64690
      -3.06682       0.63670      -0.61720
      -2.97282       0.74970      -0.58770
      -2.87782       0.83070      -0.58950
      -2.78382       0.83350      -0.60620
      -2.68982       0.90260      -0.56360
      -2.59482       0.87650      -0.54660
